web-scraper-order;web-scraper-start-url;titulo;preco;autore
1590766862-550;https://www.amazon.com.br/s?k=feminismo+negro&page3;Gênero e desigualdades: limites da democracia no Brasil;R$ 0,00;por Flávia Biroli
1590766856-467;https://www.amazon.com.br/s?k=feminismo+negro&page5;Racismo no movimento sufragista feminino;R$ 0,00;por Angela Davis e Heci Regina Candiani
1590766856-437;https://www.amazon.com.br/s?k=feminismo+negro&page5;O feminismo é para todo mundo: Políticas arrebatadoras;R$ 29,88;por bell hooks e Ana Luiza Libânio
1590766853-423;https://www.amazon.com.br/s?k=feminismo+negro&page6;Memórias da plantação: Episódios de racismo cotidiano;R$ 48,00;por Grada Kilomba e Jess Oliveira
1590766856-464;https://www.amazon.com.br/s?k=feminismo+negro&page5;Quadro Feminismo Mulheres Negras Não Serão Intimidadas 1980;R$ 46,00;null
1590766859-513;https://www.amazon.com.br/s?k=feminismo+negro&page4;Empoderamento (Feminismos Plurais);R$ 14,55;por Joice Berth
1590766856-466;https://www.amazon.com.br/s?k=feminismo+negro&page5;Estupro, racismo e o mito do estuprador negro;R$ 0,00;por Angela Davis e Heci Regina Candiani
1590766850-371;https://www.amazon.com.br/s?k=feminismo+negro&page7;Racismo no movimento sufragista feminino;R$ 0,00;por Angela Davis e Heci Regina Candiani
1590766859-506;https://www.amazon.com.br/s?k=feminismo+negro&page4;Encarceramento em Massa;R$ 17,91;por Juliana Borges
1590766862-549;https://www.amazon.com.br/s?k=feminismo+negro&page3;O Genocídio do negro brasileiro: Processo de um racismo mascarado;R$ 37,43;por Abdias Nascimento
1590766859-501;https://www.amazon.com.br/s?k=feminismo+negro&page4;O Genocídio do negro brasileiro: Processo de um racismo mascarado;R$ 37,43;por Abdias Nascimento
1590766853-386;https://www.amazon.com.br/s?k=feminismo+negro&page6;Quem tem medo do feminismo negro?;R$ 14,63;por Djamila Ribeiro
1590766869-642;https://www.amazon.com.br/s?k=feminismo+negro&page1;Racismo Estrutural (Feminismos Plurais);R$ 14,53;por Silvio Almeida
1590766856-452;https://www.amazon.com.br/s?k=feminismo+negro&page5;Educação e libertação: a perspectiva das mulheres negras;R$ 0,00;por Angela Davis e Heci Regina Candiani
1590766866-600;https://www.amazon.com.br/s?k=feminismo+negro&page2;Pensamento feminista hoje: Perspectivas decoloniais;R$ 51,00;por Buarque de Hollanda Heloisa, Adriana Varejão, e outros.
1590766859-492;https://www.amazon.com.br/s?k=feminismo+negro&page4;Erguer a voz: pensar como feminista, pensar como negra;R$ 34,20;por bell hooks e Cátia Bocaiuva Maringolo
1590766850-346;https://www.amazon.com.br/s?k=feminismo+negro&page7;Pensamento Feminista Negro. Conhecimento, Consciência e a Política do Empoderamento;R$ 54,75;por Silvana Rando e Jamile Pinheiro Dias
1590766869-664;https://www.amazon.com.br/s?k=feminismo+negro&page1;Amoras;R$ 19,90;por Emicida e Aldo Fabrini
1590766866-580;https://www.amazon.com.br/s?k=feminismo+negro&page2;Pequeno manual antirracista;R$ 17,40;por Djamila Ribeiro e Alceu Chiesorin Nunes
1590766859-523;https://www.amazon.com.br/s?k=feminismo+negro&page4;Ensinando a transgredir: A educação como prática da liberdade;R$ 33,93;por Bell Hooks e Marcelo Brandão Cipolla
1590766859-484;https://www.amazon.com.br/s?k=feminismo+negro&page4;Pequeno manual antirracista;R$ 17,40;por Djamila Ribeiro e Alceu Chiesorin Nunes
1590766853-411;https://www.amazon.com.br/s?k=feminismo+negro&page6;Negritude sem etnicidade: o local e o global nas relações raciais e na produção cultural negra do Brasil;R$ 0,00;por Li­vio Sansone
1590766850-367;https://www.amazon.com.br/s?k=feminismo+negro&page7;FEMINISMO NEGRO: A luta por reconhecimento da mulher negra no Brasil;R$ 0,00;por Ceila Sales de Almeida
1590766862-569;https://www.amazon.com.br/s?k=feminismo+negro&page3;Mulheres, cultura e política;R$ 25,11;por Angela Davis e Vilma Reis
1590766866-589;https://www.amazon.com.br/s?k=feminismo+negro&page2;Eu, Tituba: Bruxa negra de Salem;R$ 35,56;por Maryse Condé
1590766866-616;https://www.amazon.com.br/s?k=feminismo+negro&page2;Amoras;R$ 19,90;por Emicida e Aldo Fabrini
1590766856-455;https://www.amazon.com.br/s?k=feminismo+negro&page5;Sem gentileza;R$ 24,78;por Futhi Ntshingila e Hilton Lima
1590766859-503;https://www.amazon.com.br/s?k=feminismo+negro&page4;Sem gentileza;R$ 24,78;por Futhi Ntshingila e Hilton Lima
1590766869-627;https://www.amazon.com.br/s?k=feminismo+negro&page1;E eu não sou uma mulher?: Mulheres negras e feminismo;R$ 29,88;por bell hooks e Bhuvi Libanio
1590766869-660;https://www.amazon.com.br/s?k=feminismo+negro&page1;A liberdade é uma luta constante;R$ 20,61;por Angela Davis e Frank Barat
1590766869-670;https://www.amazon.com.br/s?k=feminismo+negro&page1;Má feminista - Ensaios provocativos de uma ativista desastrosa;R$ 11,39;por ROXANE GAY
1590766859-495;https://www.amazon.com.br/s?k=feminismo+negro&page4;De bala em prosa: Vozes da resistência ao genocídio negro;R$ 0,00;por Vários autores
1590766866-608;https://www.amazon.com.br/s?k=feminismo+negro&page2;Quadro Feminismo Mulheres Negras Não Serão Intimidadas 1980;R$ 46,00;null
1590766869-654;https://www.amazon.com.br/s?k=feminismo+negro&page1;Pensando Como um Negro: Ensaio de Hermenêutica Jurídica;R$ 32,40;por Adilson José Moreira, Denise Deharo, e outros.
1590766862-544;https://www.amazon.com.br/s?k=feminismo+negro&page3;Interseccionalidade;R$ 24,90;por Carla Akotirene
